score: 0.24766614815891336
>> 16 BitwiseAndMask(X0, Sobel(X0))
2,0.3054781198857321
>> 107 BitwiseAndMask(X0, BitwiseAndMask(X0, Square(X3)))
2,0.3054781198857321
>> 107 BitwiseAndMask(X0, BitwiseAndMask(X0, Square(X3)))
2,0.3054781198857321
>> 107 BitwiseAndMask(X0, BitwiseAndMask(X0, Square(X3)))
3,0.3054781198857321
>> 107 BitwiseAndMask(X0, BitwiseAndMask(X0, Square(X3)))
5,0.3803367501244669
>> 192 BitwiseAndMask(X0, BitwiseAndMask(X0, Square(X4)))
8,0.3803367501244669
>> 192 BitwiseAndMask(X0, BitwiseAndMask(X0, Square(X4)))
9,0.3803367501244669
>> 192 BitwiseAndMask(X0, BitwiseAndMask(X0, Square(X4)))
12,0.3803367501244669
>> 192 BitwiseAndMask(X0, BitwiseAndMask(X0, Square(X4)))
16,0.3803367501244669
>> 192 BitwiseAndMask(X0, BitwiseAndMask(X0, Square(X4)))
17,0.3803367501244669
>> 355 BitwiseAndMask(BitwiseAndMask(X0, Square(X4)), BitwiseAndMask(X0, Square(X4)))
18,0.3803367501244669
>> 360 BitwiseAndMask(X1, BitwiseAndMask(X0, Square(X4)))
20,0.3803367501244669
>> 360 BitwiseAndMask(X1, BitwiseAndMask(X0, Square(X4)))
26,0.3803367501244669
>> 464 BitwiseAndMask(X1, Min(X0, Square(X4)))
30,0.39438568294697435
>> 526 BitwiseAndMask(X1, Min(X0, Threshold(X4)))
32,0.39438568294697435
>> 526 BitwiseAndMask(X1, Min(X0, Threshold(X4)))
32,0.39438568294697435
>> 526 BitwiseAndMask(X1, Min(X0, Threshold(X4)))
37,0.39438568294697435
>> 526 BitwiseAndMask(X1, Min(X0, Threshold(X4)))
39,0.39438568294697435
>> 526 BitwiseAndMask(X1, Min(X0, Threshold(X4)))
48,0.40574816261304053
>> 759 BitwiseAndMask(X1, Min(Threshold(X4), Threshold(X4)))
52,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
52,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
63,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
66,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
68,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
69,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
70,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
74,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
77,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
82,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
82,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
88,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
