score: 0.24766614815891336
>> 16 BitwiseAndMask(X0, Sobel(X0))
94,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
96,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
98,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
100,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
101,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
101,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
101,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
102,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
104,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
104,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
105,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
107,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
107,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
110,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
111,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
111,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
113,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
113,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
113,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
116,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
116,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
116,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
116,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
118,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
121,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
121,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
121,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
122,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
124,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
128,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
128,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
129,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
132,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
132,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
135,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
137,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
140,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
141,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
141,0.41035633268775024
>> 812 BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4)))
142,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
144,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
146,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
146,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
149,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
150,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
164,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
165,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
165,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
165,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
165,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
173,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
174,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
175,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
183,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
183,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
187,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
191,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
193,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
195,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
196,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
205,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
205,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
206,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
207,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
207,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
207,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
208,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
208,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
214,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
215,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
216,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
218,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
221,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
227,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
228,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
228,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
238,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
238,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
247,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
252,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
252,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
254,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
254,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
254,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
254,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
262,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
270,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
286,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
287,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
302,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
302,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
305,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
305,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
305,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
305,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
305,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
306,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
310,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
319,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
323,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
325,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
336,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
340,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
340,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
341,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
346,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
349,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
350,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
353,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
370,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
372,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
375,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
375,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
381,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
384,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
392,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
393,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
402,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
404,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
409,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
417,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
418,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
419,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
419,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
419,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
426,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
435,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
438,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
438,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
453,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
456,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
460,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
464,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
472,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
478,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
479,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
479,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
481,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
481,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
482,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
488,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
489,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
489,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
489,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
490,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
490,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
493,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
494,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
500,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
501,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
503,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
504,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
505,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
505,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
506,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
511,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
512,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
514,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
515,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
517,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
518,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
521,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
521,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
523,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
523,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
523,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
523,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
523,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
535,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
537,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
543,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
543,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
545,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
545,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
545,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
547,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
549,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
553,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
558,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
558,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
559,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
564,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
568,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
570,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
573,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
576,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
576,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
576,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
579,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
582,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
584,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
590,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
591,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
593,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
596,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
596,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
601,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
601,0.43500363564192235
>> 1038 Threshold(InRange(Square(BitwiseAndMask(X1, (Threshold(X4)) + (Threshold(X4))))))
604,0.43500363564192235
