score: 0.0008170677836590062
>> 71 Sobel(FluoTopHat(AbsoluteDifference2(X2, X1)))
2,0.0017774671097185988
>> 131 Sobel(FluoTopHat(X0))
3,0.2841800896945448
>> 170 Sobel(FluoTopHat(X2))
4,0.2841800896945448
>> 170 Sobel(FluoTopHat(X2))
4,0.2841800896945448
>> 170 Sobel(FluoTopHat(X2))
4,0.2841800896945448
>> 170 Sobel(FluoTopHat(X2))
5,0.2841800896945448
>> 170 Sobel(FluoTopHat(X2))
6,0.2841800896945448
>> 170 Sobel(FluoTopHat(X2))
7,0.2841800896945448
>> 170 Sobel(FluoTopHat(X2))
7,0.2841800896945448
>> 170 Sobel(FluoTopHat(X2))
13,0.2841800896945448
>> 170 Sobel(FluoTopHat(X2))
19,0.2842373078407769
>> 500 Sobel(MedianBlur(X2))
26,0.2842373078407769
>> 500 Sobel(MedianBlur(X2))
28,0.2842373078407769
>> 500 Sobel(MedianBlur(X2))
30,0.2842373078407769
>> 500 Sobel(MedianBlur(X2))
30,0.2842373078407769
>> 500 Sobel(MedianBlur(X2))
31,0.2842373078407769
>> 500 Sobel(MedianBlur(X2))
32,0.2842373078407769
>> 500 Sobel(MedianBlur(X2))
34,0.2842373078407769
>> 500 Sobel(MedianBlur(X2))
37,0.32950089162047186
>> 869 InRange(MedianBlur(X2))
37,0.32950089162047186
>> 869 InRange(MedianBlur(X2))
37,0.32950089162047186
>> 869 InRange(MedianBlur(X2))
40,0.32950089162047186
>> 869 InRange(MedianBlur(X2))
41,0.34882926741264886
>> 893 Kirsch(MedianBlur(X2))
44,0.34882926741264886
>> 893 Kirsch(MedianBlur(X2))
48,0.3582205686651639
>> 1036 Kirsch(MedianBlur(AbsoluteDifference2(X2, X1)))
48,0.3582205686651639
>> 1036 Kirsch(MedianBlur(AbsoluteDifference2(X2, X1)))
49,0.3582205686651639
>> 1036 Kirsch(MedianBlur(AbsoluteDifference2(X2, X1)))
53,0.3582205686651639
>> 1036 Kirsch(MedianBlur(AbsoluteDifference2(X2, X1)))
53,0.3582205686651639
>> 1036 Kirsch(MedianBlur(AbsoluteDifference2(X2, X1)))
53,0.3582205686651639
>> 1036 Kirsch(MedianBlur(AbsoluteDifference2(X2, X1)))
53,0.3582205686651639
>> 1036 Kirsch(MedianBlur(AbsoluteDifference2(X2, X1)))
56,0.3582205686651639
>> 1036 Kirsch(MedianBlur(AbsoluteDifference2(X2, X1)))
60,0.3582205686651639
>> 1036 Kirsch(MedianBlur(AbsoluteDifference2(X2, X1)))
62,0.3582205686651639
>> 1036 Kirsch(MedianBlur(AbsoluteDifference2(X2, X1)))
69,0.3582205686651639
>> 1036 Kirsch(MedianBlur(AbsoluteDifference2(X2, X1)))
74,0.3582205686651639
>> 1036 Kirsch(MedianBlur(AbsoluteDifference2(X2, X1)))
75,0.3687793319380193
>> 1478 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X1)))
83,0.3687793319380193
>> 1478 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X1)))
84,0.3687793319380193
>> 1478 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X1)))
87,0.3687793319380193
>> 1478 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X1)))
87,0.3687793319380193
>> 1478 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X1)))
87,0.3687793319380193
>> 1478 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X1)))
89,0.3687793319380193
>> 1478 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X1)))
90,0.3687793319380193
>> 1478 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X1)))
105,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
106,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
108,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
109,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
114,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
115,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
122,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
122,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
139,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
150,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
150,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
152,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
152,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
154,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
158,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
164,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
165,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
166,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
184,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
185,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
187,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
187,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
189,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
189,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
190,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
195,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
197,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
197,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
197,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
197,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
197,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
198,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
202,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
202,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
202,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
202,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
204,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
204,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
204,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
205,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
207,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
207,0.37131705894792705
