score: 0.0008170677836590062
>> 71 Sobel(FluoTopHat(AbsoluteDifference2(X2, X1)))
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
207,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
207,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
210,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
210,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
210,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
212,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
212,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
212,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
213,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
214,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
216,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
216,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
217,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
221,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
221,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
224,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
226,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
228,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
228,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
228,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
229,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
231,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
240,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
240,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
241,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
241,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
248,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
248,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
249,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
251,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
251,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
252,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
252,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
252,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
253,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
256,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
258,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
258,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
261,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
262,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
262,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
265,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
265,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
266,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
266,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
267,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
269,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
271,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
271,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
271,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
271,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
271,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
273,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
274,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
276,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
276,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
277,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
277,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
277,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
278,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
279,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
280,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
282,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
287,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
290,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
290,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
290,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
291,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
292,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
292,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
292,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
294,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
294,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
294,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
296,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
296,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
298,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
298,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
300,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
300,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
300,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
300,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
300,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
300,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
301,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
302,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
302,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
302,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
302,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
302,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
303,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
303,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
303,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
304,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
304,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
305,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
305,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
308,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
313,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
316,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
317,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
320,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
320,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
321,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
322,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
323,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
323,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
323,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
323,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
330,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
334,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
334,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
334,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
336,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
337,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
338,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
338,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
339,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
339,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
339,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
344,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
344,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
344,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
344,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
344,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
344,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
344,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
352,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
353,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
353,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
353,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
353,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
354,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
354,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
354,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
354,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
355,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
355,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
355,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
359,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
359,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
359,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
359,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
359,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
359,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
360,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
362,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
362,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
363,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
363,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
365,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
365,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
367,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
367,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
367,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
367,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
368,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
371,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
373,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
374,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
375,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
376,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
376,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
376,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
376,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
377,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
377,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
378,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
378,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
378,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
378,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
378,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
379,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
380,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
381,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
382,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
382,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
384,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
385,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
385,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
386,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
386,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
387,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
387,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
387,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
387,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
387,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
387,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
391,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
391,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
391,0.37131705894792705
>> 2161 MorphBlackHat(MedianBlur(AbsoluteDifference2(X2, X0)))
